DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
231707687;04/04/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221718084;12/20/2022 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
231711735;06/07/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221710268;06/21/2022 12:00:00 AM;Devonshire ;THEFT PLAIN - ATTEMPT                                   
221713038;08/31/2022 12:00:00 AM;Devonshire ;BUNCO, GRAND THEFT                                      
231709319;05/07/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221708027;04/13/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221711184;06/15/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221715152;10/20/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221715311;10/16/2022 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
211711508;08/13/2021 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
221700766;05/11/2022 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
231706742;03/06/2023 12:00:00 AM;Devonshire ;CHILD ANNOYING (17YRS & UNDER)                          
231711215;06/12/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221707355;02/15/2022 12:00:00 AM;Devonshire ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
221704892;01/21/2022 12:00:00 AM;Devonshire ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
231712864;07/16/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231717780;11/17/2023 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
221706832;03/21/2022 12:00:00 AM;Devonshire ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
221717327;12/08/2022 12:00:00 AM;Devonshire ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
211705203;02/02/2021 12:00:00 AM;Devonshire ;DOCUMENT FORGERY / STOLEN FELONY                        
221704519;12/05/2021 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221709277;05/24/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231717646;11/02/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231713766;08/05/2023 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
221704329;01/03/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221706445;03/08/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231709524;05/01/2023 12:00:00 AM;Devonshire ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
231716502;10/12/2023 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
231715837;09/28/2023 12:00:00 AM;Devonshire ;BUNCO, GRAND THEFT                                      
221718329;12/26/2022 12:00:00 AM;Devonshire ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
221715853;11/09/2022 12:00:00 AM;Devonshire ;BATTERY WITH SEXUAL CONTACT                             
221704906;01/24/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221706362;03/08/2022 12:00:00 AM;Devonshire ;BUNCO, GRAND THEFT                                      
221715285;10/26/2022 12:00:00 AM;Devonshire ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
231715425;09/20/2023 12:00:00 AM;Devonshire ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
221707353;02/15/2022 12:00:00 AM;Devonshire ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
231708351;03/23/2023 12:00:00 AM;Devonshire ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              
231716371;10/11/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221718119;12/21/2022 12:00:00 AM;Devonshire ;RAPE, FORCIBLE                                          
221709079;03/21/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221715312;10/16/2022 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
231715652;09/23/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231711731;05/25/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
211704018;12/31/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
221704065;01/04/2022 12:00:00 AM;Devonshire ;BUNCO, GRAND THEFT                                      
221704848;01/20/2022 12:00:00 AM;Devonshire ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
231715667;09/25/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221714096;09/27/2022 12:00:00 AM;Devonshire ;CREDIT CARDS, FRAUD USE ($950 & UNDER                   
231715494;09/20/2023 12:00:00 AM;Devonshire ;UNAUTHORIZED COMPUTER ACCESS                            
211705022;12/15/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
221704520;12/05/2021 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231717133;11/02/2023 12:00:00 AM;Devonshire ;BURGLARY                                                
231704795;01/23/2023 12:00:00 AM;Devonshire ;BURGLARY                                                
221713416;09/12/2022 12:00:00 AM;Devonshire ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
231705683;01/24/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231710349;05/26/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221709286;05/24/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
211704077;01/02/2021 12:00:00 AM;Devonshire ;THEFT PLAIN - PETTY ($950 & UNDER)                      
221705135;01/31/2022 12:00:00 AM;Devonshire ;BURGLARY                                                
221706371;02/22/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231704842;01/13/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221704518;12/03/2021 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231704608;01/19/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221712124;08/04/2022 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
221714372;09/27/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231716585;10/12/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231707697;04/04/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221714282;10/03/2022 12:00:00 AM;Devonshire ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
231715600;09/21/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221718118;12/21/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231713108;07/24/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231718976;12/11/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221715730;11/07/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221713457;09/02/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221713813;09/20/2022 12:00:00 AM;Devonshire ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
221704617;01/13/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
231707656;04/03/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221706824;03/21/2022 12:00:00 AM;Devonshire ;RAPE, FORCIBLE                                          
231712102;06/28/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221718023;12/20/2022 12:00:00 AM;Devonshire ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
231700787;04/14/2023 12:00:00 AM;Devonshire ;LEWD/LASCIVIOUS ACTS WITH CHILD                         
211708475;05/14/2021 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
211704748;12/17/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221704242;01/08/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221713750;09/15/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221715512;11/01/2022 12:00:00 AM;Devonshire ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
231713487;08/02/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
241704122;12/28/2023 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221716496;11/20/2022 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
221704322;12/30/2021 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221705443;02/08/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221705844;02/22/2022 12:00:00 AM;Devonshire ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
221709131;03/29/2022 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
221710443;05/17/2022 12:00:00 AM;Devonshire ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
201710725;07/03/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201707577;03/20/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201715737;11/25/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201713754;09/29/2020 12:00:00 AM;Devonshire ;THEFT OF IDENTITY                                       
201711611;07/26/2020 12:00:00 AM;Devonshire ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201713253;09/15/2020 12:00:00 AM;Devonshire ;VEHICLE - STOLEN                                        
201716043;12/06/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201708526;04/26/2020 12:00:00 AM;Devonshire ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201713116;09/11/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201711615;07/27/2020 12:00:00 AM;Devonshire ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201707807;03/29/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201708762;05/04/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201714677;10/16/2020 12:00:00 AM;Devonshire ;BURGLARY FROM VEHICLE                                   
201706174;02/19/2020 12:00:00 AM;Devonshire ;BURGLARY                                                
201705382;02/03/2020 12:00:00 AM;Devonshire ;BATTERY - SIMPLE ASSAULT                                
201716762;12/29/2020 12:00:00 AM;Devonshire ;BRANDISH WEAPON                                         
201711086;07/14/2020 12:00:00 AM;Devonshire ;VIOLATION OF RESTRAINING ORDER                          
201700767;07/20/2020 12:00:00 AM;Devonshire ;BRANDISH WEAPON                                         
